PERMNO,DATE,RET
89696,20060227,-0.001401
89696,20060228,-0.007016
89696,20060301,0.004710
89696,20060302,0.000469
89696,20060303,0.005155
89696,20060306,0.004196
89696,20060307,-0.000929
89696,20060308,0.062732
89696,20060309,0.024486
89696,20060310,-0.002988
89696,20060313,0.014983
89696,20060314,0.037959
89696,20060315,0.000813
89696,20060316,0.008120
89696,20060317,0.024567
89696,20060320,-0.013365
89696,20060321,-0.004781
89696,20060322,0.005605
89696,20060323,-0.028991
89696,20060324,0.014906
89696,20060327,-0.006295
89696,20060328,-0.029561
89696,20060329,0.021323
89696,20060330,0.021730
89696,20060331,-0.015847
89696,20060403,0.001271
89696,20060404,0.003809
89696,20060405,0.002108
89696,20060406,-0.001683
89696,20060407,-0.016013
89696,20060410,-0.006424
89696,20060411,0.001724
89696,20060412,-0.008606
89696,20060413,0.006944
89696,20060417,0.007759
89696,20060418,-0.003849
89696,20060419,0.034779
89696,20060420,0.012033
89696,20060421,0.013120
89696,20060424,0.008094
89696,20060425,-0.043758
89696,20060426,0.009656
89696,20060427,-0.014969
89696,20060428,-0.011819
89696,20060501,-0.003417
89696,20060502,0.006858
89696,20060503,-0.014474
89696,20060504,0.030238
89696,20060505,0.011321
89696,20060508,-0.000829
89696,20060509,0.006224
89696,20060510,0.002887
89696,20060511,-0.015214
89696,20060512,-0.037996
89696,20060515,-0.020399
89696,20060516,0.006646
89696,20060517,-0.044014
89696,20060518,-0.019797
89696,20060519,0.000000
89696,20060522,-0.026303
89696,20060523,0.023155
89696,20060524,0.009430
89696,20060525,0.012144
89696,20060526,0.012460
89696,20060530,-0.028259
89696,20060531,0.005160
89696,20060601,0.020532
89696,20060602,0.010517
89696,20060605,-0.010860
89696,20060606,-0.029735
89696,20060607,-0.012258
89696,20060608,-0.013843
89696,20060609,-0.014521
89696,20060612,-0.016699
89696,20060613,-0.032468
89696,20060614,0.013939
89696,20060615,0.030041
89696,20060616,-0.008403
89696,20060619,-0.004985
89696,20060620,0.006513
89696,20060621,0.023892
89696,20060622,-0.006320
89696,20060623,-0.006360
89696,20060626,0.000492
89696,20060627,-0.024114
89696,20060628,-0.002017
89696,20060629,0.065690
89696,20060630,0.018966
89696,20060703,-0.001861
89696,20060705,-0.009790
89696,20060706,0.005650
89696,20060707,0.006554
89696,20060710,-0.002326
89696,20060711,0.006527
89696,20060712,0.000926
89696,20060713,-0.019898
89696,20060714,-0.013220
89696,20060717,-0.016268
89696,20060718,-0.003405
89696,20060719,0.026354
89696,20060720,0.023300
89696,20060721,0.013940
89696,20060724,0.017415
89696,20060725,-0.002252
89696,20060726,-0.020316
89696,20060727,0.015207
89696,20060728,0.014526
89696,20060731,-0.004922
89696,20060801,0.000899
89696,20060802,0.000898
89696,20060803,0.008528
89696,20060804,-0.003115
89696,20060807,-0.009821
89696,20060808,0.001353
89696,20060809,-0.010806
89696,20060810,0.004097
89696,20060811,-0.012693
89696,20060814,0.000005
89696,20060815,0.021116
89696,20060816,0.015288
89696,20060817,0.011072
89696,20060818,0.003504
89696,20060821,0.000000
89696,20060822,0.022261
89696,20060823,-0.002562
89696,20060824,0.004281
89696,20060825,0.006394
89696,20060828,0.002541
89696,20060829,0.001267
89696,20060830,0.011392
89696,20060831,-0.014184
89696,20060901,0.010580
89696,20060905,0.006700
89696,20060906,-0.019967
89696,20060907,-0.005518
89696,20060908,0.003414
89696,20060911,-0.008082
89696,20060912,0.009863
89696,20060913,0.008493
89696,20060914,0.012211
89696,20060915,-0.001664
89696,20060918,0.012500
89696,20060919,-0.016461
89696,20060920,0.001674
89696,20060921,0.005012
89696,20060922,-0.019950
89696,20060925,-0.008906
89696,20060926,0.001284
89696,20060927,0.016239
89696,20060928,0.002103
89696,20060929,-0.006295
89696,20061002,-0.004223
89696,20061003,0.002120
89696,20061004,-0.008464
89696,20061005,0.004695
89696,20061006,-0.006372
89696,20061009,0.000855
89696,20061010,-0.001709
89696,20061011,-0.005991
89696,20061012,0.013345
89696,20061013,0.001274
89696,20061016,0.011455
89696,20061017,-0.010487
89696,20061018,0.029250
89696,20061019,0.028007
89696,20061020,0.004006
89696,20061023,-0.009577
89696,20061024,0.001612
89696,20061025,0.009252
89696,20061026,-0.003189
89696,20061027,0.005598
89696,20061030,0.007952
89696,20061031,0.001972
89696,20061101,-0.019291
89696,20061102,-0.008430
89696,20061103,-0.002834
89696,20061106,0.026797
89696,20061107,-0.004350
89696,20061108,-0.001986
89696,20061109,-0.007163
89696,20061110,0.004810
89696,20061113,-0.004787
89696,20061114,0.004008
89696,20061115,0.018363
89696,20061116,0.000000
89696,20061117,-0.012152
89696,20061120,-0.010317
89696,20061121,0.007618
89696,20061122,0.003979
89696,20061124,-0.011494
89696,20061127,-0.013232
89696,20061128,0.005689
89696,20061129,0.016162
89696,20061130,-0.003976
89696,20061201,-0.007585
89696,20061204,0.007643
89696,20061205,0.011577
89696,20061206,-0.004736
89696,20061207,0.002776
89696,20061208,-0.009885
89696,20061211,0.011581
89696,20061212,-0.005527
89696,20061213,0.000397
89696,20061214,0.011111
89696,20061215,-0.005102
89696,20061218,-0.001972
89696,20061219,-0.001581
89696,20061220,-0.016231
89696,20061221,0.012475
89696,20061222,-0.011924
89696,20061226,0.003218
89696,20061227,0.004812
89696,20061228,0.005188
89696,20061229,0.002779
89696,20070103,-0.007522
89696,20070104,-0.008377
89696,20070105,-0.016492
89696,20070108,-0.009407
89696,20070109,0.001652
89696,20070110,-0.001237
89696,20070111,0.012794
89696,20070112,0.004482
89696,20070116,0.033671
89696,20070117,-0.009419
89696,20070118,-0.001189
89696,20070119,0.010313
89696,20070122,-0.010208
89696,20070123,0.003570
89696,20070124,0.007510
89696,20070125,-0.023146
89696,20070126,0.002811
89696,20070129,0.013917
89696,20070130,0.012738
89696,20070131,-0.003120
89696,20070201,0.035211
89696,20070202,-0.004913
89696,20070205,-0.007976
89696,20070206,0.013782
89696,20070207,-0.000378
89696,20070208,-0.006800
89696,20070209,-0.017117
89696,20070212,-0.006579
89696,20070213,0.010908
89696,20070214,0.012331
89696,20070215,0.010658
89696,20070216,-0.004143
89696,20070220,0.005673
89696,20070221,-0.009778
89696,20070222,0.000760
89696,20070223,0.004554
89696,20070226,0.016245
89696,20070227,-0.034944
89696,20070228,-0.000770
89696,20070301,-0.010023
89696,20070302,-0.000779
89696,20070305,-0.018316
89696,20070306,0.017070
89696,20070307,0.008587
89696,20070308,0.003483
89696,20070309,0.008870
89696,20070312,0.001529
89696,20070313,-0.019847
89696,20070314,-0.002726
89696,20070315,0.010543
89696,20070316,-0.009274
89696,20070319,0.022621
89696,20070320,-0.000763
89696,20070321,0.017557
89696,20070322,-0.010503
89696,20070323,-0.002274
89696,20070326,0.005319
89696,20070327,-0.001134
89696,20070328,-0.013082
89696,20070329,0.011155
89696,20070330,0.005910
89696,20070402,-0.001959
89696,20070403,0.010597
89696,20070404,-0.005825
89696,20070405,-0.000391
89696,20070409,-0.004299
89696,20070410,0.004710
89696,20070411,0.002734
89696,20070412,0.000000
89696,20070413,-0.003896
89696,20070416,0.003911
89696,20070417,-0.005064
89696,20070418,0.001958
89696,20070419,-0.013286
89696,20070420,-0.002376
89696,20070423,-0.024216
89696,20070424,0.013426
89696,20070425,0.005219
89696,20070426,-0.001597
89696,20070427,-0.002800
89696,20070430,-0.010429
89696,20070501,0.002432
89696,20070502,0.005257
89696,20070503,0.002413
89696,20070504,0.014446
89696,20070507,0.005934
89696,20070508,-0.025167
89696,20070509,-0.012505
89696,20070510,-0.022059
89696,20070511,0.023392
89696,20070514,-0.004082
89696,20070515,0.004508
89696,20070516,0.000000
89696,20070517,0.000408
89696,20070518,-0.001224
89696,20070521,0.030216
89696,20070522,0.004756
89696,20070523,0.000394
89696,20070524,0.005915
89696,20070525,0.017640
89696,20070529,-0.010786
89696,20070530,0.004673
89696,20070531,0.003876
89696,20070601,0.005405
89696,20070604,0.011521
89696,20070605,-0.007973
89696,20070606,-0.016456
89696,20070607,-0.024514
89696,20070608,-0.006382
89696,20070611,0.008832
89696,20070612,-0.020294
89696,20070613,0.012591
89696,20070614,0.014440
89696,20070615,0.016212
89696,20070618,0.000389
89696,20070619,-0.016336
89696,20070620,-0.015421
89696,20070621,0.008032
89696,20070622,-0.004781
89696,20070625,-0.019215
89696,20070626,0.009388
89696,20070627,-0.003639
89696,20070628,-0.002029
89696,20070629,-0.001220
89696,20070702,0.019951
89696,20070703,-0.005589
89696,20070705,0.008430
89696,20070706,0.006768
89696,20070709,0.005536
89696,20070710,-0.016909
89696,20070711,0.010800
89696,20070712,0.011080
89696,20070713,0.003523
89696,20070716,-0.010920
89696,20070717,-0.014196
89696,20070718,0.001600
89696,20070719,-0.004792
89696,20070720,-0.007223
89696,20070723,-0.003234
89696,20070724,-0.025547
89696,20070725,-0.017894
89696,20070726,-0.024576
89696,20070727,-0.036056
89696,20070730,0.009464
89696,20070731,-0.009821
89696,20070801,0.004959
89696,20070802,0.004486
89696,20070803,-0.021885
89696,20070806,-0.006849
89696,20070807,0.003218
89696,20070808,-0.002291
89696,20070809,-0.024345
89696,20070810,-0.029190
89696,20070813,0.018914
89696,20070814,0.019039
89696,20070815,-0.022886
89696,20070816,-0.013384
89696,20070817,0.023740
89696,20070820,0.016564
89696,20070821,0.001401
89696,20070822,0.027424
89696,20070823,0.004977
89696,20070824,0.032868
89696,20070827,-0.013514
89696,20070828,-0.031374
89696,20070829,0.028289
89696,20070830,-0.005328
89696,20070831,0.008921
89696,20070904,-0.005305
89696,20070905,-0.004889
89696,20070906,0.012059
89696,20070907,0.000441
89696,20070910,0.004852
89696,20070911,0.002195
89696,20070912,-0.000876
89696,20070913,0.012275
89696,20070914,-0.013859
89696,20070917,-0.009223
89696,20070918,0.013741
89696,20070919,0.002624
89696,20070920,0.006978
89696,20070921,0.032915
89696,20070924,0.000839
89696,20070925,-0.019690
89696,20070926,0.010256
89696,20070927,0.013113
89696,20070928,0.004175
89696,20071001,0.010395
89696,20071002,-0.018518
89696,20071003,-0.011321
89696,20071004,-0.078456
89696,20071005,0.010124
89696,20071008,-0.011845
89696,20071009,0.031812
89696,20071010,-0.016086
89696,20071011,0.006358
89696,20071012,-0.004061
89696,20071015,-0.074309
89696,20071016,-0.001958
89696,20071017,0.009318
89696,20071018,0.018464
89696,20071019,-0.020038
89696,20071022,-0.018014
89696,20071023,0.014378
89696,20071024,0.008309
89696,20071025,0.031992
89696,20071026,0.010803
89696,20071029,-0.003253
89696,20071030,0.003730
89696,20071031,0.042267
89696,20071101,-0.020499
89696,20071102,0.001820
89696,20071105,-0.013170
89696,20071106,0.014726
89696,20071107,-0.025850
89696,20071108,0.013501
89696,20071109,-0.030317
89696,20071112,-0.027949
89696,20071113,0.046296
89696,20071114,-0.012110
89696,20071115,-0.020745
89696,20071116,-0.002889
89696,20071119,-0.048769
89696,20071120,0.012690
89696,20071121,-0.034085
89696,20071123,0.012974
89696,20071126,0.000512
89696,20071127,0.015873
89696,20071128,0.033266
89696,20071129,0.007317
89696,20071130,0.025182
89696,20071203,0.003307
